Time,API Key Name,Model,Reasoning Effort,Inbound Endpoint,IP Address,Type,Billing Mode,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens,Rate Multiplier,Billed Cost,Original Cost,First Token (ms),Duration (ms)
2026-07-17T12:00:05.288499+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,1731,250,43008,0,1,0,0,5827,9851
2026-07-17T11:59:53.568276+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,802,1542,42240,0,1,0,0,5992,38898
2026-07-17T11:59:05.380401+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,451,400,41984,0,1,0,0,5635,13751
2026-07-17T11:58:48.56356+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,5264,258,36864,0,1,0,0,5500,10473
2026-07-17T11:58:37.367376+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,1417,204,35584,0,1,0,0,4898,8926
2026-07-17T11:58:27.343926+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,2438,264,33280,0,1,0,0,6412,10529
2026-07-17T11:58:16.071305+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,2431,162,30976,0,1,0,0,6066,7856
2026-07-17T11:58:07.422413+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,419,202,30720,0,1,0,0,8028,10977
2026-07-17T11:57:53.947231+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,788,204,29952,0,1,0,0,7537,10751
2026-07-17T11:57:41.59253+08:00,,k3,'-,/v1/responses,2408:8210:5428:c3b2:80fe:92bf:6b15:cadd,Stream,按量,1631,191,28416,0,1,0,0,8691,11180
